,0
0,80.0
1,78.0
2,78.0
3,78.0
4,77.0
5,77.0
6,77.0
7,77.0
8,77.0
9,77.0
10,77.0
11,77.0
12,77.0
13,77.0
14,77.0
15,77.0
16,77.0
17,77.0
18,77.0
19,77.0
20,77.0
21,77.0
22,77.0
23,77.0
24,77.0
25,77.0
26,77.0
27,77.0
28,77.0
29,77.0
30,77.0
31,77.0
32,77.0
33,77.0
34,77.0
35,77.0
36,77.0
37,77.0
38,77.0
39,77.0
40,77.0
41,77.0
42,77.0
43,77.0
44,77.0
45,77.0
46,77.0
47,77.0
48,77.0
49,77.0
50,76.0
51,76.0
52,76.0
53,76.0
54,76.0
55,76.0
56,76.0
57,76.0
58,76.0
59,76.0
60,76.0
61,76.0
62,76.0
63,76.0
64,76.0
65,76.0
66,76.0
67,76.0
68,76.0
69,76.0
70,76.0
71,76.0
72,76.0
73,76.0
74,76.0
75,76.0
76,76.0
77,76.0
78,75.0
79,75.0
80,75.0
81,75.0
82,75.0
83,75.0
84,75.0
85,75.0
86,75.0
87,75.0
88,75.0
89,75.0
90,75.0
91,75.0
92,75.0
93,75.0
94,75.0
95,75.0
96,75.0
97,75.0
98,75.0
99,75.0
100,75.0
101,75.0
102,75.0
103,75.0
104,75.0
105,75.0
106,75.0
107,75.0
108,75.0
109,75.0
110,75.0
111,75.0
112,75.0
113,75.0
114,75.0
115,75.0
116,75.0
117,75.0
118,75.0
119,75.0
120,75.0
121,75.0
122,75.0
123,75.0
124,75.0
125,75.0
126,75.0
127,75.0
128,75.0
129,75.0
130,75.0
131,75.0
132,75.0
133,75.0
134,75.0
135,75.0
136,75.0
137,75.0
138,75.0
139,75.0
140,75.0
141,74.0
142,74.0
143,74.0
144,74.0
145,74.0
146,74.0
147,74.0
148,74.0
149,74.0
150,74.0
151,74.0
152,74.0
153,74.0
154,74.0
155,74.0
156,74.0
157,74.0
158,74.0
159,74.0
160,74.0
161,74.0
162,74.0
163,74.0
164,74.0
165,74.0
166,74.0
167,74.0
168,74.0
169,74.0
170,74.0
171,74.0
172,74.0
173,74.0
174,74.0
175,74.0
176,74.0
177,74.0
178,74.0
179,74.0
180,74.0
181,74.0
182,74.0
183,74.0
184,74.0
185,74.0
186,74.0
187,74.0
188,74.0
189,74.0
190,74.0
191,74.0
192,74.0
193,74.0
194,74.0
195,74.0
196,74.0
197,74.0
198,74.0
199,74.0
200,74.0
201,74.0
202,74.0
203,74.0
204,74.0
205,74.0
206,74.0
207,74.0
208,74.0
209,74.0
210,74.0
211,73.0
212,73.0
213,73.0
214,73.0
215,73.0
216,73.0
217,73.0
218,73.0
219,73.0
220,73.0
221,73.0
222,73.0
223,73.0
224,73.0
225,73.0
226,73.0
227,73.0
228,73.0
229,73.0
230,73.0
231,73.0
232,73.0
233,73.0
234,73.0
235,73.0
236,73.0
237,73.0
238,73.0
239,73.0
240,73.0
241,73.0
242,73.0
243,73.0
244,73.0
245,73.0
246,73.0
247,73.0
248,73.0
249,73.0
250,73.0
251,73.0
252,73.0
253,73.0
254,73.0
255,73.0
256,73.0
257,73.0
258,73.0
259,73.0
260,73.0
261,73.0
262,73.0
263,73.0
264,73.0
265,73.0
266,73.0
267,73.0
268,72.0
269,72.0
270,72.0
271,72.0
272,72.0
273,72.0
274,72.0
275,72.0
276,72.0
277,72.0
278,72.0
279,72.0
280,72.0
281,72.0
282,72.0
283,72.0
284,72.0
285,72.0
286,72.0
287,72.0
288,72.0
289,72.0
290,72.0
291,72.0
292,72.0
293,72.0
294,72.0
295,72.0
296,72.0
297,72.0
298,72.0
299,72.0
