,0
0,81.0
1,80.0
2,80.0
3,78.0
4,78.0
5,78.0
6,78.0
7,78.0
8,78.0
9,78.0
10,78.0
11,78.0
12,78.0
13,78.0
14,78.0
15,78.0
16,78.0
17,78.0
18,78.0
19,78.0
20,78.0
21,78.0
22,78.0
23,78.0
24,78.0
25,78.0
26,78.0
27,78.0
28,78.0
29,78.0
30,78.0
31,77.0
32,77.0
33,77.0
34,77.0
35,77.0
36,77.0
37,77.0
38,77.0
39,77.0
40,77.0
41,77.0
42,77.0
43,77.0
44,77.0
45,77.0
46,77.0
47,77.0
48,77.0
49,77.0
50,77.0
51,77.0
52,77.0
53,77.0
54,77.0
55,77.0
56,77.0
57,77.0
58,77.0
59,77.0
60,77.0
61,77.0
62,77.0
63,77.0
64,77.0
65,77.0
66,77.0
67,77.0
68,77.0
69,77.0
70,77.0
71,77.0
72,77.0
73,77.0
74,77.0
75,77.0
76,77.0
77,77.0
78,77.0
79,77.0
80,75.0
81,75.0
82,75.0
83,75.0
84,75.0
85,75.0
86,75.0
87,75.0
88,75.0
89,75.0
90,75.0
91,75.0
92,75.0
93,75.0
94,75.0
95,75.0
96,75.0
97,75.0
98,75.0
99,75.0
100,75.0
101,75.0
102,75.0
103,75.0
104,75.0
105,75.0
106,75.0
107,75.0
108,75.0
109,75.0
110,75.0
111,75.0
112,75.0
113,75.0
114,75.0
115,75.0
116,75.0
117,75.0
118,75.0
119,75.0
120,75.0
121,75.0
122,75.0
123,75.0
124,75.0
125,75.0
126,75.0
127,75.0
128,75.0
129,75.0
130,75.0
131,75.0
132,75.0
133,75.0
134,75.0
135,75.0
136,75.0
137,75.0
138,75.0
139,75.0
140,75.0
141,75.0
142,75.0
143,75.0
144,75.0
145,75.0
146,75.0
147,75.0
148,75.0
149,75.0
150,75.0
151,75.0
152,75.0
153,75.0
154,75.0
155,75.0
156,75.0
157,75.0
158,75.0
159,75.0
160,75.0
161,75.0
162,75.0
163,75.0
164,75.0
165,75.0
166,75.0
167,75.0
168,75.0
169,75.0
170,74.0
171,74.0
172,74.0
173,74.0
174,74.0
175,74.0
176,74.0
177,74.0
178,74.0
179,74.0
180,74.0
181,74.0
182,74.0
183,74.0
184,74.0
185,74.0
186,74.0
187,74.0
188,74.0
189,74.0
190,74.0
191,74.0
192,74.0
193,74.0
194,74.0
195,74.0
196,74.0
197,74.0
198,74.0
199,74.0
200,74.0
201,74.0
202,74.0
203,74.0
204,74.0
205,74.0
206,74.0
207,74.0
208,74.0
209,74.0
210,74.0
211,74.0
212,74.0
213,74.0
214,74.0
215,74.0
216,74.0
217,74.0
218,74.0
219,74.0
220,74.0
221,74.0
222,74.0
223,74.0
224,74.0
225,74.0
226,74.0
227,74.0
228,74.0
229,74.0
230,74.0
231,74.0
232,74.0
233,74.0
234,74.0
235,74.0
236,74.0
237,74.0
238,74.0
239,74.0
240,74.0
241,74.0
242,74.0
243,74.0
244,74.0
245,74.0
246,74.0
247,74.0
248,74.0
249,74.0
250,74.0
251,74.0
252,74.0
253,74.0
254,74.0
255,74.0
256,74.0
257,74.0
258,74.0
259,74.0
260,74.0
261,74.0
262,74.0
263,74.0
264,74.0
265,74.0
266,74.0
267,74.0
268,74.0
269,74.0
270,74.0
271,74.0
272,74.0
273,74.0
274,74.0
275,74.0
276,71.0
277,71.0
278,71.0
279,71.0
280,71.0
281,71.0
282,71.0
283,71.0
284,71.0
285,71.0
286,71.0
287,71.0
288,71.0
289,71.0
290,71.0
291,71.0
292,71.0
293,71.0
294,71.0
295,71.0
296,71.0
297,71.0
298,71.0
299,71.0
